0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.100000 0.750900 0.167500 0.029000 0.003100 0.000300
0.200000 1.168200 0.478700 0.136200 0.034600 0.009400
0.300000 1.398900 0.754000 0.312000 0.107500 0.041500
0.400000 1.524000 0.977600 0.496800 0.216300 0.116800
0.500000 1.592000 1.131700 0.672000 0.342500 0.242000
0.600000 1.615900 1.233200 0.811600 0.475200 0.409900
0.700000 1.627400 1.306900 0.907400 0.588000 0.626000
0.800000 1.645600 1.315600 1.003400 0.677200 0.876700
0.900000 1.666000 1.335000 1.059100 0.754300 1.141600
1.000000 1.664900 1.349100 1.085100 0.814700 1.413100
1.100000 1.664200 1.361000 1.095000 0.862600 1.684100
1.200000 1.673800 1.367100 1.125400 0.888900 1.947600
1.300000 1.658200 1.395600 1.128000 0.919000 2.182800
1.400000 1.665100 1.386200 1.146700 0.928000 2.417800
1.500000 1.662500 1.376600 1.154100 0.943000 2.626100
1.600000 1.658400 1.393000 1.146100 0.963300 2.828900
1.700000 1.665400 1.394900 1.133700 0.966500 3.013800
1.800000 1.663400 1.396600 1.130600 0.957700 3.192800
1.900000 1.681400 1.378300 1.142600 0.945000 3.344800
2.000000 1.675500 1.385900 1.155100 0.951100 3.491600
2.100000 1.671000 1.394900 1.156300 0.955300 3.611900
2.200000 1.665900 1.392700 1.158400 0.975200 3.711500
2.300000 1.668800 1.385800 1.175000 0.967600 3.817400
2.400000 1.657500 1.399800 1.164000 0.962900 3.928600
2.500000 1.682200 1.395700 1.163400 0.961600 4.015600
2.600000 1.667300 1.404300 1.149200 0.975600 4.084300
2.700000 1.668300 1.403600 1.159300 0.963900 4.157900
2.800000 1.661700 1.389200 1.154900 0.968900 4.234900
2.900000 1.673800 1.398000 1.142600 0.964800 4.306200
3.000000 1.664000 1.394500 1.159500 0.958600 4.356600
3.100000 1.660400 1.387900 1.149900 0.955700 4.398000
3.200000 1.670700 1.379200 1.157300 0.956300 4.430500
3.300000 1.686500 1.371500 1.146900 0.963500 4.464500
