0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.100000 0.874202 0.401304 0.172791 0.061527 0.019997
0.200000 1.086435 0.686212 0.373338 0.173763 0.086277
0.300000 1.185105 0.865685 0.552962 0.333452 0.193633
0.400000 1.241647 0.986459 0.699264 0.467399 0.334487
0.500000 1.265445 1.063618 0.808714 0.590286 0.480084
0.600000 1.262892 1.087727 0.885399 0.691572 0.635039
0.700000 1.290769 1.125369 0.952590 0.761114 0.777683
0.800000 1.285960 1.146321 0.986840 0.838939 0.925936
0.900000 1.271363 1.145168 1.038042 0.875953 1.055486
1.000000 1.298669 1.167098 1.049900 0.899799 1.183075
1.100000 1.300564 1.176750 1.062425 0.931393 1.291732
1.200000 1.293213 1.173435 1.073797 0.959685 1.392700
1.300000 1.277196 1.167246 1.079456 0.964910 1.485736
1.400000 1.283425 1.170766 1.087641 0.975698 1.572360
1.500000 1.275712 1.169555 1.069846 0.979990 1.646939
1.600000 1.276699 1.169347 1.069987 0.965558 1.703426
1.700000 1.296339 1.152877 1.059059 0.974145 1.763871
1.800000 1.286429 1.173191 1.064163 0.957227 1.819056
1.900000 1.288454 1.166289 1.065877 0.968296 1.856132
2.000000 1.292784 1.168357 1.074692 0.966350 1.891116
2.100000 1.298806 1.173725 1.079858 0.970153 1.919788
2.200000 1.291520 1.187285 1.086617 0.966043 1.945020
2.300000 1.283886 1.185398 1.072778 0.989457 1.982721
2.400000 1.291656 1.171132 1.079371 0.975656 1.997125
2.500000 1.271700 1.166863 1.083652 0.972937 2.024908
2.600000 1.279324 1.182797 1.088494 0.992387 2.048643
2.700000 1.284923 1.186310 1.083854 0.975811 2.061389
2.800000 1.285004 1.170221 1.077049 0.974592 2.068599
2.900000 1.296273 1.163478 1.070686 0.979382 2.083954
3.000000 1.291516 1.161742 1.072671 0.985053 2.079506
3.100000 1.279482 1.175254 1.075444 0.963909 2.086551
3.200000 1.289310 1.177767 1.079030 0.981095 2.084469
3.300000 1.297232 1.163337 1.072736 0.982391 2.091889
3.400000 1.296606 1.178967 1.078952 0.964055 2.088587
3.500000 1.316777 1.174140 1.072728 0.984678 2.104967
