0.000000 5.000000 5.000000 5.000000
0.100000 3.523300 4.261100 6.758200
0.200000 2.661800 3.481200 7.950500
0.300000 2.199200 2.795800 8.700900
0.400000 1.953900 2.315400 9.072000
0.500000 1.822800 1.982000 9.220600
0.600000 1.792200 1.765000 9.225000
0.700000 1.714300 1.632900 9.162400
0.800000 1.689000 1.531200 9.033500
0.900000 1.700000 1.477300 8.894000
1.000000 1.696700 1.455600 8.720300
1.100000 1.654400 1.447500 8.565500
1.200000 1.653700 1.417800 8.432800
1.300000 1.676200 1.409300 8.304600
1.400000 1.676300 1.403000 8.186800
1.500000 1.674800 1.400600 8.076600
1.600000 1.670000 1.381300 7.952800
1.700000 1.663700 1.377800 7.850300
1.800000 1.690800 1.372700 7.758800
1.900000 1.683500 1.391900 7.679400
2.000000 1.689300 1.382600 7.590600
2.100000 1.691800 1.380800 7.535300
2.200000 1.684300 1.384100 7.488800
2.300000 1.677200 1.387500 7.436000
2.400000 1.673700 1.401000 7.373000
2.500000 1.699400 1.403700 7.339000
2.600000 1.678200 1.404700 7.320900
2.700000 1.671900 1.398100 7.270400
2.800000 1.663700 1.394200 7.264700
2.900000 1.656700 1.400500 7.219800
3.000000 1.648600 1.386200 7.196700
3.100000 1.658700 1.378100 7.190200
3.200000 1.676800 1.368000 7.177500
3.300000 1.663200 1.369900 7.157400
3.400000 1.669400 1.380000 7.122300
3.500000 1.657600 1.403500 7.098800
3.600000 1.672500 1.378900 7.099400
3.700000 1.661000 1.383700 7.084400
3.800000 1.663700 1.387900 7.062400
3.900000 1.660800 1.387800 7.044000
4.000000 1.647600 1.394500 7.033700
4.100000 1.657100 1.385800 7.040100
4.200000 1.678400 1.378300 7.058200
4.300000 1.667700 1.396500 7.041600
4.400000 1.671400 1.398200 7.038100
4.500000 1.664200 1.392800 7.029400
4.600000 1.651900 1.390000 7.018800
4.700000 1.654500 1.383700 7.028900
4.800000 1.686500 1.382700 7.016200
4.900000 1.685900 1.390500 7.009900
5.000000 1.682400 1.401700 7.003200
5.100000 1.690400 1.408300 7.005600
5.200000 1.658700 1.423400 7.011400
5.300000 1.648500 1.399300 7.021400
5.400000 1.646500 1.395400 7.033200
5.500000 1.654200 1.382500 7.021300
5.600000 1.640000 1.380800 7.010200
5.700000 1.654900 1.359000 6.994800
5.800000 1.664100 1.377400 6.969500
5.900000 1.667600 1.366200 6.972100
6.000000 1.672500 1.367100 6.970000
