0.000000 0.000000 0.000000 0.000000
0.100000 1.421595 1.551033 1.403176
0.200000 1.492539 1.623037 1.745308
0.300000 1.441064 1.565813 1.945425
0.400000 1.413284 1.472185 2.084943
0.500000 1.363966 1.425938 2.220128
0.600000 1.336846 1.331235 2.342192
0.700000 1.319667 1.277872 2.437110
0.800000 1.313616 1.271996 2.496144
0.900000 1.301172 1.230735 2.560575
1.000000 1.289766 1.214786 2.619415
1.100000 1.295136 1.202265 2.655660
1.200000 1.282515 1.201474 2.682433
1.300000 1.281967 1.193026 2.699385
1.400000 1.299353 1.197140 2.710228
1.500000 1.307188 1.182795 2.726755
1.600000 1.291526 1.180763 2.736104
1.700000 1.290196 1.163409 2.727443
1.800000 1.305391 1.169743 2.716264
1.900000 1.295893 1.174538 2.712345
2.000000 1.276662 1.182005 2.710059
2.100000 1.300477 1.185099 2.719457
2.200000 1.296689 1.172727 2.713336
2.300000 1.306823 1.167736 2.690458
2.400000 1.305237 1.170850 2.698468
2.500000 1.309582 1.194350 2.682055
2.600000 1.290244 1.169476 2.677547
2.700000 1.281676 1.183102 2.695553
2.800000 1.277901 1.180866 2.677608
2.900000 1.288510 1.182100 2.679976
3.000000 1.292344 1.176214 2.679416
3.100000 1.290950 1.167031 2.678912
3.200000 1.282723 1.191937 2.654688
3.300000 1.281605 1.191871 2.654356
3.400000 1.285157 1.177267 2.664901
3.500000 1.273274 1.182460 2.651626
3.600000 1.282840 1.172137 2.651024
3.700000 1.284901 1.153228 2.655545
3.800000 1.279899 1.173298 2.652636
3.900000 1.308258 1.166601 2.651225
4.000000 1.306409 1.176868 2.650397
4.100000 1.291446 1.177209 2.638292
4.200000 1.291576 1.167418 2.638976
4.300000 1.308981 1.181549 2.625356
4.400000 1.315683 1.175818 2.659854
4.500000 1.309865 1.185556 2.650090
4.600000 1.287747 1.189713 2.637133
4.700000 1.301608 1.180980 2.632297
4.800000 1.303544 1.180255 2.634627
4.900000 1.281650 1.173209 2.634692
5.000000 1.296027 1.180664 2.628005
5.100000 1.303804 1.178702 2.636301
5.200000 1.276472 1.191753 2.638340
5.300000 1.298359 1.176074 2.645947
5.400000 1.287182 1.177444 2.654580
5.500000 1.278920 1.181491 2.657100
5.600000 1.288923 1.161610 2.644325
5.700000 1.284676 1.176505 2.634469
5.800000 1.288497 1.179226 2.612869
5.900000 1.290799 1.183744 2.606986
6.000000 1.295948 1.196756 2.640553
6.100000 1.289296 1.195102 2.637157
6.200000 1.283734 1.169939 2.647257
6.300000 1.289923 1.164819 2.656049
6.400000 1.304127 1.174054 2.647173
6.500000 1.296668 1.166452 2.639687
6.600000 1.289131 1.186815 2.633144
6.700000 1.300678 1.188796 2.627663
6.800000 1.291800 1.189363 2.646556
6.900000 1.278722 1.188952 2.636446
7.000000 1.294071 1.174935 2.649510
7.100000 1.294767 1.182336 2.650983
7.200000 1.293862 1.170633 2.651315
7.300000 1.300398 1.166689 2.653875
7.400000 1.308801 1.163260 2.641087
7.500000 1.302567 1.179955 2.635285
7.600000 1.296812 1.176566 2.625790
7.700000 1.296023 1.186242 2.625105
7.800000 1.283045 1.178997 2.614772
7.900000 1.283618 1.155931 2.612839
8.000000 1.292821 1.178633 2.617891
8.100000 1.303637 1.176747 2.606314
8.200000 1.284745 1.184013 2.619411
8.300000 1.276467 1.189049 2.633076
8.400000 1.281283 1.172886 2.646870
8.500000 1.286078 1.187280 2.666624
8.600000 1.292787 1.174555 2.649703
8.700000 1.294573 1.167771 2.641200
8.800000 1.297460 1.179932 2.637218
8.900000 1.303964 1.166200 2.650589
9.000000 1.296914 1.164125 2.669567
9.100000 1.306215 1.175421 2.669880
9.200000 1.309012 1.178522 2.672244
9.300000 1.305865 1.184013 2.663240
9.400000 1.291447 1.177074 2.679752
9.500000 1.274785 1.167163 2.674619
9.600000 1.301914 1.185293 2.682225
9.700000 1.291433 1.188654 2.666631
9.800000 1.293025 1.182048 2.656416
9.900000 1.292552 1.182184 2.669975
10.000000 1.293974 1.174061 2.663964


0.000000 0.000000 0.000000 0.000000
0.100000 1.472971 1.533341 1.996411
0.200000 1.480614 1.648278 2.330970
0.300000 1.454406 1.635853 2.422199
0.400000 1.390559 1.516703 2.454518
0.500000 1.366904 1.464535 2.505430
0.600000 1.355784 1.398762 2.585379
0.700000 1.333564 1.369406 2.606531
0.800000 1.307889 1.325161 2.612167
0.900000 1.294378 1.307701 2.610875
1.000000 1.307078 1.236263 2.596938
1.100000 1.297725 1.278557 2.668902
1.200000 1.298114 1.244495 2.694033
1.300000 1.299511 1.234196 2.667177
1.400000 1.298746 1.209297 2.672170
1.500000 1.276064 1.225821 2.677723
1.600000 1.284094 1.228946 2.670288
1.700000 1.307139 1.225120 2.706409
1.800000 1.280910 1.210322 2.728136
1.900000 1.270561 1.186324 2.689158
2.000000 1.272141 1.206199 2.695323
2.100000 1.295890 1.190214 2.746439
2.200000 1.269829 1.168237 2.717926
2.300000 1.271077 1.176092 2.734198
2.400000 1.269090 1.206311 2.712388
2.500000 1.279172 1.176452 2.714476
2.600000 1.275448 1.190446 2.742526
2.700000 1.274626 1.178758 2.717974
2.800000 1.298026 1.206004 2.726855
2.900000 1.273781 1.186008 2.735484
3.000000 1.273083 1.185202 2.734265
3.100000 1.279571 1.196800 2.706390
3.200000 1.286086 1.188549 2.707488
3.300000 1.276344 1.187866 2.722396
3.400000 1.267597 1.175391 2.733287
3.500000 1.300345 1.186740 2.715723
3.600000 1.298741 1.179513 2.751047
3.700000 1.287073 1.186356 2.737858
3.800000 1.285705 1.185612 2.707239
3.900000 1.282270 1.183551 2.710722
4.000000 1.297730 1.171323 2.694090
4.100000 1.294891 1.181115 2.730557
4.200000 1.292844 1.184714 2.741316
4.300000 1.296109 1.185321 2.705901
4.400000 1.287297 1.196587 2.721949
4.500000 1.284361 1.166943 2.687172
4.600000 1.293137 1.177974 2.661194
4.700000 1.296191 1.178307 2.706797
4.800000 1.260232 1.169657 2.693661
4.900000 1.298822 1.174912 2.692205
5.000000 1.287657 1.190744 2.718376
5.100000 1.290999 1.158045 2.694146
5.200000 1.288652 1.179266 2.697660
5.300000 1.283468 1.197178 2.701273
5.400000 1.275366 1.171648 2.689556
5.500000 1.285123 1.185532 2.654101
5.600000 1.276118 1.188398 2.688685
5.700000 1.274485 1.171057 2.671858
5.800000 1.274600 1.179704 2.674868
5.900000 1.292929 1.193579 2.652905
6.000000 1.295613 1.171457 2.666339
6.100000 1.281660 1.179800 2.677635
6.200000 1.270434 1.178959 2.675458
6.300000 1.298796 1.154788 2.676894
6.400000 1.279443 1.196353 2.638383
6.500000 1.283279 1.172687 2.652820
6.600000 1.282642 1.170923 2.652297
6.700000 1.281950 1.178796 2.664966
6.800000 1.271358 1.183022 2.660357
6.900000 1.262095 1.159554 2.671631
7.000000 1.267516 1.167639 2.664714
7.100000 1.277054 1.163380 2.662414
7.200000 1.270219 1.174772 2.657916
7.300000 1.267984 1.181171 2.667068
7.400000 1.288950 1.164339 2.687584
7.500000 1.265633 1.173839 2.649060
7.600000 1.281273 1.174933 2.645112
7.700000 1.277564 1.181381 2.653168
7.800000 1.276212 1.172397 2.657801
7.900000 1.287884 1.178037 2.654126
8.000000 1.289944 1.175657 2.685489
8.100000 1.278924 1.194884 2.621126
8.200000 1.270989 1.176625 2.642263
8.300000 1.278470 1.191107 2.651084
8.400000 1.280154 1.192924 2.674834
8.500000 1.302535 1.206612 2.660655
8.600000 1.274570 1.199737 2.675747
8.700000 1.269590 1.196077 2.635943
8.800000 1.305621 1.199054 2.623506
8.900000 1.279080 1.182077 2.652389
9.000000 1.273880 1.214412 2.638824
9.100000 1.281642 1.206405 2.677909
9.200000 1.280026 1.194095 2.652641
9.300000 1.275578 1.217060 2.670051
9.400000 1.268754 1.237425 2.650941
