0.000000 0.000000 0.000000
0.010000 0.102000 0.002200
0.020000 0.199300 0.009000
0.030000 0.284100 0.020500
0.040000 0.365100 0.034800
0.050000 0.441600 0.053800
0.060000 0.516800 0.077200
0.070000 0.586500 0.104800
0.080000 0.644100 0.134800
0.090000 0.701900 0.167900
0.100000 0.761500 0.201100
0.110000 0.815300 0.241000
0.120000 0.870600 0.277500
0.130000 0.920600 0.315300
0.140000 0.962200 0.358500
0.150000 1.000400 0.404000
0.160000 1.031200 0.453000
0.170000 1.065800 0.502100
0.180000 1.112300 0.550200
0.190000 1.147600 0.598400
0.200000 1.175800 0.650700
0.210000 1.200400 0.702400
0.220000 1.224400 0.757300
0.230000 1.256300 0.809500
0.240000 1.275600 0.863200
0.250000 1.292100 0.919300
0.260000 1.309600 0.975500
0.270000 1.326000 1.027200
0.280000 1.351600 1.079000
0.290000 1.366700 1.136300
0.300000 1.380800 1.194800
0.310000 1.395000 1.256900
0.320000 1.404800 1.314500
0.330000 1.417700 1.369400
0.340000 1.439400 1.424300
0.350000 1.453900 1.477700
0.360000 1.466200 1.535200
0.370000 1.472800 1.591000
0.380000 1.486800 1.647200
0.390000 1.499500 1.707100
0.400000 1.504300 1.763300
0.410000 1.509500 1.826100
0.420000 1.518000 1.882900
0.430000 1.522100 1.943900
0.440000 1.532600 1.998700
0.450000 1.545500 2.054700
0.460000 1.547100 2.113700
0.470000 1.551900 2.169800
0.480000 1.566700 2.224000
0.490000 1.575700 2.283000
0.500000 1.581400 2.340400
0.510000 1.583100 2.396300
0.520000 1.589200 2.453300
0.530000 1.597900 2.504900
0.540000 1.595100 2.561800
0.550000 1.606400 2.609800
0.560000 1.607600 2.666900
0.570000 1.606800 2.719600
0.580000 1.607600 2.773400
0.590000 1.613200 2.827000
0.600000 1.615300 2.883700
0.610000 1.620600 2.932900
0.620000 1.624900 2.985700
0.630000 1.620400 3.034800
0.640000 1.625200 3.082400
0.650000 1.628300 3.131400
0.660000 1.624900 3.180900
0.670000 1.626000 3.233200
0.680000 1.631100 3.285100
0.690000 1.630200 3.330600
0.700000 1.626100 3.377600
0.710000 1.629800 3.427500
0.720000 1.623900 3.471500
0.730000 1.623000 3.517000
0.740000 1.623500 3.570200
0.750000 1.624000 3.613900
0.760000 1.627300 3.656100
0.770000 1.626000 3.698900
0.780000 1.626000 3.740700
0.790000 1.628600 3.785300
0.800000 1.632900 3.830500
0.810000 1.635600 3.871500
0.820000 1.639000 3.917900
0.830000 1.638700 3.959700
0.840000 1.646300 4.000100
0.850000 1.647500 4.044200
0.860000 1.652100 4.085800
0.870000 1.653900 4.122300
0.880000 1.651300 4.164000
0.890000 1.648200 4.209400
0.900000 1.651500 4.246500
0.910000 1.644400 4.288100
0.920000 1.648700 4.324600
0.930000 1.643900 4.368900
0.940000 1.643300 4.407100
0.950000 1.640600 4.446600
0.960000 1.637400 4.487400
0.970000 1.634400 4.528800
0.980000 1.638600 4.564100
0.990000 1.641100 4.596500
1.000000 1.643400 4.633900


0.000000 0.000000 0.000000
0.010000 0.282000 0.001300
0.020000 0.405200 0.023800
0.030000 0.472500 0.041700
0.040000 0.587200 0.072300
0.050000 0.588500 0.099900
0.060000 0.650100 0.155200
0.070000 0.722900 0.180500
0.080000 0.787700 0.233400
0.090000 0.863800 0.268600
0.100000 0.922800 0.310900
0.110000 0.942500 0.341900
0.120000 0.996300 0.422300
0.130000 1.032000 0.451900
0.140000 1.083100 0.521700
0.150000 1.143000 0.602300
0.160000 1.164400 0.642300
0.170000 1.198400 0.684000
0.180000 1.218200 0.751900
0.190000 1.244300 0.801500
0.200000 1.247500 0.848300
0.210000 1.313900 0.917600
0.220000 1.334600 1.000200
0.230000 1.325600 1.105300
0.240000 1.348800 1.133600
0.250000 1.389000 1.237800
0.260000 1.396700 1.273800
0.270000 1.413600 1.291500
0.280000 1.443600 1.369700
0.290000 1.456600 1.440100
0.300000 1.479100 1.453000
0.310000 1.495000 1.531900
0.320000 1.490300 1.593900
0.330000 1.501900 1.611600
0.340000 1.551800 1.724500
0.350000 1.539200 1.798900
0.360000 1.541700 1.874700
0.370000 1.522800 1.940300
0.380000 1.515500 2.025300
0.390000 1.507200 2.098900
0.400000 1.544900 2.156100
0.410000 1.539200 2.223200
0.420000 1.526100 2.279300
0.430000 1.573200 2.339000
0.440000 1.556500 2.361800
0.450000 1.548800 2.448900
0.460000 1.576000 2.491600
0.470000 1.579000 2.523800
0.480000 1.584100 2.580800
0.490000 1.596500 2.683400
0.500000 1.563800 2.725600
0.510000 1.574900 2.772700
0.520000 1.568300 2.866200
0.530000 1.602100 2.931000
0.540000 1.613700 2.957800
0.550000 1.610600 3.068400
0.560000 1.613800 3.062200
0.570000 1.619600 3.102800
0.580000 1.611700 3.155900
0.590000 1.636500 3.265600
0.600000 1.619000 3.231000
0.610000 1.618000 3.297100
0.620000 1.665500 3.369600
0.630000 1.651500 3.419500
0.640000 1.653500 3.518000
0.650000 1.630400 3.598400
0.660000 1.678600 3.691900
0.670000 1.710200 3.700900
0.680000 1.701600 3.715200
0.690000 1.663000 3.797000
0.700000 1.666200 3.824200
0.710000 1.714100 3.761000
0.720000 1.657500 3.781600
0.730000 1.682300 3.906700
0.740000 1.670000 3.825100
0.750000 1.690800 3.846800
0.760000 1.709300 3.906700
0.770000 1.734000 3.959400
0.780000 1.696300 4.027200
0.790000 1.716100 4.038000
0.800000 1.744800 4.125300
0.810000 1.791700 4.130400
0.820000 1.841400 4.120900
0.830000 1.825600 4.135900
0.840000 1.804600 4.065600
0.850000 1.787300 4.109500
0.860000 1.834600 4.125900
0.870000 1.852300 4.122400
0.880000 1.856600 4.207900
0.890000 1.876700 4.236500
0.900000 1.906400 4.180300
0.910000 1.841900 4.127500
0.920000 1.813900 4.127900
0.930000 1.782000 4.032100
0.940000 1.798400 4.087900
0.950000 1.821700 4.128500
